id,author,full_name,ori_name,work1,work2,work3
31,塞万提斯,米格尔·德·塞万提斯,Miguel de Cervantes,堂吉诃德,,
32,塞林格,杰罗姆·大卫·塞林格,J. D. Salinger,麦田里的守望者,,
33,夏多布里昂,夏多布里昂,Francois-Rene de Chateaubriand,阿达拉,,
34,夏洛蒂·勃朗特,夏洛蒂·勃朗特,Charlotte Brontë,简爱,,
35,夏目漱石,夏目漱石,夏目 漱石,我是猫,门,后来的事
36,大仲马,大仲马,Alexandre Dumas,基督山伯爵,三个火枪手,
37,大卫·米切尔,大卫·米切尔,David Mitchell,云图,,
38,大卫·赫伯特·劳伦斯,大卫·赫伯特·劳伦斯,D. H. Lawrence,嫉妒,恋爱中的女人,
39,太宰治,太宰治,太宰治,人间失格,斜阳,跑吧美乐斯
40,契诃夫,安东·契诃夫,Anton Chekhov,第六病室,装在套子里的人,跳来跳去的女人
41,奥尔德斯·赫胥黎,阿道司·赫胥黎,Aldous Huxley,美丽新世界,,
42,奥斯卡·王尔德,奥斯卡·王尔德,Oscar Wilde,夜莺与玫瑰,道连·葛雷的画像,坎特维尔的幽灵
43,奥斯特洛夫斯基,尼古拉·奥斯特洛夫斯基,Nikolai Ostrovsky,钢铁是怎样炼成的,,
44,姜峯楠,姜峯楠,Ted Chiang,呼吸,七十二个字母,你一生的故事
45,安妮·赖斯,安妮·赖斯,Anne Rice,夜访吸血鬼,,
46,小仲马,小仲马,Alexandre Dumas,茶花女,,
47,尼尔·盖曼,尼尔·盖曼,Neil Gaiman,好兆头,美国众神,北欧众神
48,尼采,弗里德里希·尼采,Friedrich Nietzsche,查拉图斯特拉如是说,不合时宜的沉思,悲剧的诞生
49,屠格涅夫,伊万·屠格涅夫,Ivan Turgenev,春潮,父与子,猎人笔记
50,岩井俊二,岩井俊二,岩井 俊二,情书,,
51,川端康成,川端康成,川端康成,山之音,湖,美好的旅行
52,巴尔扎克,奥诺雷·德·巴尔扎克,Honore de Balzac,交际花盛衰记,高老头,
53,席勒,弗里德里希·席勒,Friedrich Schiller,阴谋与爱情,,
54,弗兰克·赫伯特,弗兰克·赫伯特,Frank Herbert,沙丘,,
55,弗兰克·鲍姆,莱曼·弗兰克·鲍姆,L. Frank Baum,绿野仙踪,,
56,弗兰纳里·奥康纳,弗兰纳里·奥康纳,Flannery O'Connor,上升的一切必将汇合,好人难寻,
57,弗吉尼亚·伍尔芙,弗吉尼亚·伍尔芙,Virginia Woolf,到灯塔去,海浪,达洛维夫人
58,弗拉基米尔·纳博科夫,弗拉基米尔·纳博科夫,Vladimir Nabokov,洛丽塔,普宁,
59,弗雷德里克·巴克曼,弗雷德里克·巴克曼,Fredrik Backman,一个叫欧维的男人决定去死,焦虑的人,清单人生
60,恰克·帕拉尼克,恰克·帕拉尼克,Chuck Palahniuk,搏击俱乐部,肠子,
61,托尔金,J·R·R·托尔金,John Ronald Reuel Tolkien,魔戒,霍比特人,
62,托马斯·品钦,托马斯·品钦,Thomas Pynchon,万有引力之虹,,
63,托马斯·哈代,托马斯·哈代,Thomas Hardy,德伯家的苔丝,还乡,
64,托马斯·哈里斯,托马斯·哈里斯,Thomas Harris,红龙,沉默的羔羊,汉尼拔
65,扬·马特尔,扬·马特尔,Yann Martel,少年Pi的奇幻漂流,,
66,拜伦,拜伦,Lord Byron,唐璜,,
67,斯蒂芬·茨威格,斯蒂芬·茨威格,Stefan Zweig,一个陌生女人的来信,变形的陶醉,命运攸关的时刻
68,斯蒂芬·金,斯蒂芬·金,Stephen King,肖申克的救赎,捕梦网,穹顶之下
69,易卜生,亨里克·易卜生,Henrik Ibsen,玩偶之家,,
70,普希金,亚历山大·普希金,Alexander Pushkin,假如生活欺骗了你,黑桃皇后,普希金诗选
71,本尼迪克特,鲁思·本尼迪克特,Ruth Benedict,菊与刀,,
72,村上春树,村上春树,村上春樹,1Q84,挪威的森林,海边的卡夫卡
73,村上龙,村上龙,村上 龍,无限近似于透明的蓝,,
74,杰克·伦敦,杰克·伦敦,Jack London,野性的呼唤,马丁·伊登,
75,杰克·凯鲁亚克,杰克·凯鲁亚克,Jack Kerouac,在路上,,
76,极乐迪斯科,极乐迪斯科,Disco Elysium,by ZA/UM,中文全文本,
77,柏拉图,柏拉图,Plato,理想国,,
78,柯南道尔,阿瑟·柯南·道尔,Arthur Conan Doyle,福尔摩斯探案全集,,
79,森鸥外,森鸥外,森鷗外,舞姬,,
80,欧·亨利,欧·亨利,O. Henry,欧·亨利短篇小说选,,
81,歌德,歌德,Gothe,少年维特之烦恼,浮士德,
82,毛姆,威廉·萨默塞特·毛姆,William Somerset Maugham,人生的枷锁,刀锋,月亮和六便士
83,江户川乱步,江户川乱步,江戸川乱歩,欺诈师与空气男,怪盗二十面相,人间椅子
84,沃尔特·司各特,沃尔特·司各特,Walter Scott,英雄艾文荷,,
85,法布尔,让-亨利·法布尔,Jean-Henri Fabre,昆虫记,,
86,泰戈尔,罗宾德拉纳特·泰戈尔,Rabindranath Tagore,吉檀迦利,飞鸟集,新月集
87,洛夫克拉夫特,H·P·洛夫克拉夫特,H. P. Lovecraft,克苏鲁神话,死灵之书,
88,海伦·凯勒,海伦·凯勒,Helen Keller,假如给我三天光明,,
89,海明威,欧内斯特·海明威,Ernest Hemingway,丧钟为谁而鸣,老人与海,永别了武器
90,海莲·汉芙,海伦·汉芙,Helene Hanff,查令十字街84号,,
91,涩泽龙彦,涩泽龙彦,澁澤龍󠄂彥,巴比伦空中花园,唐草物语,幻想博物志
92,渡边淳一,渡边淳一,渡辺 淳一,失乐园,樱花树下,紫阳花日记
93,温斯顿·格鲁姆,温斯顿·格鲁姆,Winston Groom,阿甘正传,,
94,爱伦·坡,爱伦·坡,Edgar Allan Poe,厄舍府之倒塌,黑猫,瓶中手稿
95,爱德华·摩根·福斯特,爱德华·摩根·福斯特,E. M. Forster,印度之行,最漫长的旅程,看得见风景的房间
96,狄更斯,查尔斯·狄更斯,Charles Dickens,双城记,大卫·科波菲尔,
97,玛格丽特·米切尔,玛格丽特·米切尔,Margaret Mitchell,乱世佳人,,
98,瓦尔特·惠特曼,沃尔特·惠特曼,Walt Whitman,草叶集,,
99,石黑一雄,石黑一雄,石黒 一雄,克拉拉与太阳,长日将尽,
100,福楼拜,古斯塔夫·福楼拜,Gustave Flaubert,包法利夫人,萨朗波,
101,简·奥斯汀,简·奥斯汀,Jane Austen,傲慢与偏见,理智与情感,爱玛
